   kind   IET       LUMO       dhd          LL         HH        BL         dist
   slow   55      -9.53431   36.566284    28.7412   2.413267   5.85603    2.195197
   fast   19      -9.22835   7.510681     42.8159   2.162269   34.3371    2.350248
   fast   10.25   -9.33652   15.298591    37.4014   2.333203   31.2823    2.140288
   slow   37.25   -9.46512   7.409017     44.2153   2.134062   25.469     2.334405
   fast   12.5    -9.35084   16.178797    29.1119   2.117297   13.0589    2.211476
   slow   67.25   -9.43696   12.506703    22.9773   2.24858    20.9521    2.248996
   slow   47.75   -9.39845   18.515999    38.9541   2.227723   -3.688     2.246249
   fast   24.25   -9.31964   7.723678     35.7369   2.041204   32.2737    2.108558
   fast   12.25   -9.32014   2.955775     42.0919   2.151668   30.4587    2.25734
   fast   5.5     -9.17816   10.101805    42.1618   2.103507   24.8678    2.162134
   fast   32.5    -9.44348   8.319487     36.2932   2.017212   12.15      2.148149
   slow   106     -9.43126   12.190604    31.9462   2.133101   14.0163    2.334231
   fast   7       -9.25111   8.101672     57.0756   2.418401   35.5702    2.123883
   fast   30      -9.28655   9.962091     60.2697   2.649973   24.3204    2.152463
   fast   29.5    -9.40556   13.230212    55.3212   2.600992   11.5621    2.216586
   fast   18.75   -9.38921   5.153578     36.3587   2.35413    32.0877    2.196125
   fast   23.25   -9.38653   6.549006     37.7972   2.200149   27.9078    2.220244
   slow   43.5    -9.47726   9.168389     32.2513   2.087363   19.5953    2.162721
   fast   27      -9.30185   16.877678    35.4873   2.139932   14.0666    2.211849
